scenario,controller,seed,headway_cv,travel_s,wait_s
Weather+Breakdown,NC,18,0.4697953070475921,1230.2857142857142,256.6666666666667
Weather+Breakdown,NC,19,0.517461596612417,1263.375,230.17117117117118
Weather+Breakdown,NC,20,0.5622763036023181,1332.4285714285713,260.4594594594595
Weather+Breakdown,NC,21,0.5896926544242802,1287.875,252.36936936936937
Weather+Breakdown,NC,22,0.7301186271742438,1334.125,252.83783783783784
Weather+Breakdown,NC,23,0.5638566559930542,1197.625,256.63963963963965
Weather+Breakdown,NC,24,0.5809913515106653,1322.25,255.73873873873873
Weather+Breakdown,NC,25,0.3243135750021671,1131.5,197.86486486486487
Weather+Breakdown,NC,26,0.4947620987012956,1084.875,233.5855855855856
Weather+Breakdown,NC,27,0.7358015539097024,1392.125,270.77477477477476
Weather+Breakdown,NC,28,0.46724320155174076,1135.625,219.52252252252254
Weather+Breakdown,NC,29,0.5502687193202414,1350.625,246.6936936936937
Weather+Breakdown,EH,0,0.4744428091590211,1469.75,241.73873873873873
Weather+Breakdown,EH,1,0.4052397825270456,1289.375,217.32432432432432
Weather+Breakdown,EH,2,0.5043763954260393,1242.0,222.6036036036036
Weather+Breakdown,EH,3,0.6711573511092932,1266.5,244.018018018018
Weather+Breakdown,EH,4,0.48510409129193394,1280.25,225.0
Weather+Breakdown,EH,5,0.568769067417577,1450.25,301.47747747747746
Weather+Breakdown,EH,6,0.45056788351427546,1220.75,234.78378378378378
Weather+Breakdown,EH,7,0.7563017244330446,1635.625,299.7837837837838
Weather+Breakdown,EH,8,0.5011857623058382,1203.25,235.17117117117118
Weather+Breakdown,EH,9,0.7652169975669171,1514.875,330.2882882882883
Weather+Breakdown,EH,10,0.5300702834183698,1441.5,286.85585585585585
Weather+Breakdown,EH,11,0.5447316671764788,1393.75,276.0990990990991
Weather+Breakdown,EH,12,0.47795769166032737,1309.75,255.14414414414415
Weather+Breakdown,EH,13,0.5218486188302265,1410.625,281.2522522522523
Weather+Breakdown,EH,14,0.6124473468751999,1442.125,261.6666666666667
Weather+Breakdown,EH,15,0.44382056609391823,1251.625,243.38738738738738
Weather+Breakdown,EH,16,0.5533029706495253,1568.625,288.6306306306306
Weather+Breakdown,EH,17,0.5204886440106954,1387.75,229.018018018018
Weather+Breakdown,EH,18,0.4639300261744019,1291.125,236.6216216216216
Weather+Breakdown,EH,19,0.5526350198798229,1550.375,238.73873873873873
Weather+Breakdown,EH,20,0.5246196309364902,1360.75,247.0990990990991
Weather+Breakdown,EH,21,0.5404970824970955,1448.25,243.36936936936937
Weather+Breakdown,EH,22,0.626474793780305,1362.5,226.35135135135135
Weather+Breakdown,EH,23,0.4562531565800863,1263.375,238.42342342342343
Weather+Breakdown,EH,24,0.5934695485235494,1496.875,236.72072072072072
Weather+Breakdown,EH,25,0.2938024635861532,1187.625,199.26126126126127
Weather+Breakdown,EH,26,0.570579221348543,1309.75,247.0990990990991
Weather+Breakdown,EH,27,0.5191416294198627,1433.25,238.27027027027026
Weather+Breakdown,EH,28,0.43922976674099923,1318.5,210.56756756756758
Weather+Breakdown,EH,29,0.5107069028197452,1381.5,238.32432432432432
