episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
228,0,0,0,0.0,-12.22,0.4135,,,,,0.515
229,0,0,0,0.0,-17.56,0.5244,,,,,0.513
230,1,0,1,0.0,-16.4,0.4606,,,,,0.511
231,1,1,1,0.878,-64.47,1.0082,,,,,0.509
232,0,1,1,0.559,-43.72,0.7123,,,,,0.507
233,0,0,1,0.0,-13.59,0.4261,,,,,0.505
234,0,1,0,1.058,-71.4,1.0232,,,,,0.503
235,1,0,0,0.0,-10.1,0.3724,,,,,0.501
236,1,1,1,0.511,-50.74,0.8357,,,,,0.498
237,0,1,1,0.851,-72.69,1.0904,,,,,0.496
238,0,0,0,0.0,-31.27,0.6411,,,,,0.494
239,0,1,1,1.048,-34.96,0.6921,,,,,0.492
240,0,0,0,0.0,-7.02,0.3421,,,,,0.49
241,1,1,0,0.42,-21.15,0.5347,,,,,0.488
242,1,1,0,0.443,-53.85,0.7806,,,,,0.486
243,0,0,0,0.0,-8.23,0.3039,,,,,0.483
244,0,0,1,0.0,-23.53,0.5399,,,,,0.481
245,1,0,0,0.0,-11.09,0.3769,,,,,0.479
246,1,0,0,0.0,-19.37,0.5265,,,,,0.477
247,0,0,1,0.0,-8.79,0.3385,,,,,0.475
248,1,1,1,0.787,-28.11,0.6399,,,,,0.473
249,0,0,1,0.0,-22.05,0.54,,,,,0.471
250,1,0,0,0.0,-16.85,0.4578,0.5876,0.4471,0.5657,0.75,0.469
251,1,0,0,0.0,-20.95,0.493,,,,,0.466
252,1,1,0,0.086,-17.93,0.5288,,,,,0.464
253,0,0,0,0.0,-14.84,0.4857,,,,,0.462
254,0,1,0,0.76,-25.06,0.741,,,,,0.46
255,0,0,1,0.0,-16.33,0.4487,,,,,0.458
256,0,1,1,0.434,-46.16,0.8067,,,,,0.456
257,0,1,1,1.184,-56.43,0.8956,,,,,0.454
258,0,0,0,0.0,-18.5,0.5544,,,,,0.452
259,0,0,1,0.0,-10.42,0.4304,,,,,0.449
260,1,1,0,0.006,-32.8,0.6405,,,,,0.447
261,1,1,1,0.498,-43.4,0.7303,,,,,0.445
262,1,1,0,1.095,-89.14,1.1093,,,,,0.443
263,1,0,1,0.0,-20.89,0.5293,,,,,0.441
264,0,1,0,0.903,-59.32,0.9299,,,,,0.439
265,0,1,1,0.57,-42.97,0.7712,,,,,0.437
266,1,1,1,0.318,-24.43,0.5648,,,,,0.435
267,1,1,0,0.131,-22.15,0.5228,,,,,0.433
268,1,1,1,0.267,-29.72,0.5473,,,,,0.43
269,0,0,1,0.0,-16.55,0.4436,,,,,0.428
270,1,0,1,0.0,-15.8,0.4621,,,,,0.426
271,0,1,1,0.14,-14.32,0.4063,,,,,0.424
272,1,1,1,0.082,-15.0,0.4438,,,,,0.422
273,1,0,0,0.0,-6.82,0.2775,,,,,0.42
274,0,0,1,0.0,-12.17,0.4045,,,,,0.418
275,1,1,0,1.112,-39.83,0.8656,,,,,0.416
276,1,1,1,1.149,-70.86,0.96,,,,,0.413
277,1,0,0,0.0,-10.44,0.3665,,,,,0.411
278,0,1,0,1.076,-74.84,1.0482,,,,,0.409
279,0,0,0,0.0,-14.9,0.4416,,,,,0.407
280,0,0,1,0.0,-19.49,0.5116,,,,,0.405
281,1,0,0,0.0,-11.15,0.3684,,,,,0.403
282,0,0,0,0.0,-21.18,0.5537,,,,,0.401
283,0,1,1,0.626,-39.67,0.6735,,,,,0.398
284,0,0,1,0.0,-11.04,0.3875,,,,,0.396
285,1,0,1,0.0,-16.13,0.4553,,,,,0.394
286,1,0,1,0.0,-23.05,0.5221,,,,,0.392
287,1,0,1,0.0,-21.11,0.5228,,,,,0.39
288,1,1,0,1.124,-56.51,0.8921,,,,,0.388
289,1,1,0,0.242,-36.04,0.7451,,,,,0.386
290,0,0,0,0.0,-13.94,0.4355,,,,,0.384
291,0,0,1,0.0,-11.82,0.3678,,,,,0.381
292,1,0,0,0.0,-9.41,0.3597,,,,,0.379
293,1,0,0,0.0,-12.79,0.404,,,,,0.377
294,1,1,1,1.198,-53.5,0.7584,,,,,0.375
295,1,1,0,0.374,-12.29,0.3965,,,,,0.373
296,1,0,0,0.0,-17.54,0.4822,,,,,0.371
297,0,1,0,0.31,-30.13,0.6188,,,,,0.369
298,1,1,0,0.527,-30.94,0.613,,,,,0.366
299,1,1,1,1.173,-63.22,0.7949,,,,,0.364
300,1,0,0,0.0,-16.1,0.4549,0.5826,0.4432,0.5651,0.7395,0.362
301,1,1,0,0.817,-46.85,0.9125,,,,,0.36
302,0,0,1,0.0,-7.99,0.3381,,,,,0.358
303,1,0,0,0.0,-31.78,0.6748,,,,,0.356
304,0,1,1,0.871,-38.18,0.7738,,,,,0.354
305,0,0,1,0.0,-12.53,0.4374,,,,,0.352
306,0,1,1,0.093,-12.01,0.3947,,,,,0.35
307,0,0,1,0.0,-12.07,0.3903,,,,,0.348
308,1,1,1,1.01,-67.83,0.8943,,,,,0.345
309,0,1,0,0.681,-55.41,0.885,,,,,0.343
310,0,1,0,0.092,-12.02,0.4098,,,,,0.341
311,0,1,0,0.092,-16.12,0.4562,,,,,0.339
312,1,0,1,0.0,-22.32,0.5572,,,,,0.337
313,1,1,1,1.122,-47.42,0.8717,,,,,0.335
314,1,1,1,0.557,-41.95,0.7072,,,,,0.333
315,1,0,0,0.0,-11.6,0.4031,,,,,0.331
316,1,0,1,0.0,-13.3,0.4044,,,,,0.328
317,1,1,1,1.031,-69.17,0.9032,,,,,0.326
318,0,1,0,1.072,-54.16,0.8211,,,,,0.324
319,1,1,0,0.043,-15.54,0.4259,,,,,0.322
320,1,1,0,0.825,-23.07,0.6797,,,,,0.32
