episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
311,0,1,0,0.092,-32.06,0.4009,,,,,0.339
312,1,0,1,0.0,-33.7,0.4964,,,,,0.337
313,1,1,1,1.122,-116.24,0.8722,,,,,0.335
314,1,1,1,0.557,-87.83,0.709,,,,,0.333
315,1,0,0,0.0,-27.13,0.4001,,,,,0.331
316,1,0,1,0.0,-35.25,0.4016,,,,,0.328
317,1,1,1,1.031,-118.62,0.8763,,,,,0.326
318,0,1,0,1.072,-87.65,0.8109,,,,,0.324
319,1,1,0,0.043,-44.58,0.461,,,,,0.322
320,1,1,0,0.825,-50.9,0.7274,,,,,0.32
321,1,1,1,1.174,-108.56,0.904,,,,,0.318
322,1,0,0,0.0,-40.02,0.4762,,,,,0.316
323,1,1,0,1.177,-106.7,0.723,,,,,0.313
324,0,1,0,1.125,-67.5,0.7231,,,,,0.311
325,1,0,1,0.0,-37.37,0.4448,,,,,0.309
326,0,1,0,0.622,-95.41,0.7994,,,,,0.307
327,1,0,1,0.0,-73.81,0.6398,,,,,0.305
328,0,1,1,0.073,-28.08,0.4118,,,,,0.303
329,0,0,0,0.0,-19.15,0.345,,,,,0.301
330,0,0,1,0.0,-27.08,0.3706,,,,,0.299
331,1,0,1,0.0,-50.57,0.527,,,,,0.296
332,0,0,0,0.0,-27.9,0.4043,,,,,0.294
333,0,0,1,0.0,-32.49,0.4055,,,,,0.292
334,1,0,1,0.0,-35.17,0.4557,,,,,0.29
335,0,1,0,1.168,-124.37,0.8627,,,,,0.288
336,1,1,0,0.112,-59.32,0.5985,,,,,0.286
337,0,1,1,0.807,-112.93,0.9922,,,,,0.284
338,0,0,1,0.0,-32.71,0.4502,,,,,0.282
339,0,1,1,1.181,-145.98,1.2585,,,,,0.279
340,0,0,0,0.0,-13.84,0.2604,,,,,0.277
341,0,0,1,0.0,-14.86,0.2798,,,,,0.275
342,1,0,0,0.0,-38.96,0.4367,,,,,0.273
343,1,1,0,0.704,-74.85,0.6575,,,,,0.271
344,0,1,0,0.733,-95.19,0.7467,,,,,0.269
345,1,1,1,1.291,-138.32,0.9738,,,,,0.267
346,1,1,0,0.124,-28.47,0.4027,,,,,0.265
347,0,1,1,1.19,-86.29,0.8584,,,,,0.262
348,1,1,1,0.249,-57.98,0.5453,,,,,0.26
349,0,0,1,0.0,-42.96,0.5405,,,,,0.258
350,1,0,1,0.0,-18.91,0.3003,0.5564,0.4424,0.5122,0.7146,0.256
351,0,1,0,1.012,-163.36,1.4121,,,,,0.254
352,1,1,0,0.737,-66.42,0.6432,,,,,0.252
353,0,0,1,0.0,-35.61,0.4472,,,,,0.25
354,0,0,0,0.0,-12.53,0.2629,,,,,0.248
355,0,0,0,0.0,-17.99,0.3592,,,,,0.245
356,1,1,0,1.291,-76.63,0.6394,,,,,0.243
357,1,0,1,0.0,-46.15,0.4706,,,,,0.241
358,1,1,0,0.296,-32.12,0.4132,,,,,0.239
359,1,1,1,1.255,-69.03,0.8069,,,,,0.237
360,0,0,0,0.0,-51.1,0.4613,,,,,0.235
361,0,0,0,0.0,-19.41,0.3294,,,,,0.233
362,0,1,0,1.264,-109.82,0.9324,,,,,0.23
363,0,0,1,0.0,-17.05,0.3109,,,,,0.228
364,1,1,1,0.955,-60.64,0.6227,,,,,0.226
365,1,0,0,0.0,-51.11,0.5732,,,,,0.224
366,1,0,0,0.0,-43.61,0.5285,,,,,0.222
367,1,0,1,0.0,-23.1,0.3906,,,,,0.22
368,0,0,1,0.0,-21.01,0.3996,,,,,0.218
369,1,1,1,0.559,-59.26,0.5328,,,,,0.216
370,0,0,1,0.0,-27.6,0.3821,,,,,0.213
371,0,0,0,0.0,-26.42,0.3695,,,,,0.211
372,1,1,0,0.733,-69.93,0.6252,,,,,0.209
373,0,1,0,1.217,-121.83,1.1397,,,,,0.207
374,0,0,1,0.0,-21.5,0.3423,,,,,0.205
375,1,0,0,0.0,-25.12,0.3524,,,,,0.203
376,1,1,1,0.24,-33.88,0.4421,,,,,0.201
377,1,1,0,0.417,-92.61,0.706,,,,,0.198
378,1,0,1,0.0,-25.19,0.3444,,,,,0.196
379,0,1,1,0.317,-56.17,0.5342,,,,,0.194
380,1,1,1,0.955,-70.41,0.656,,,,,0.192
381,0,0,0,0.0,-11.66,0.2177,,,,,0.19
382,0,0,0,0.0,-16.89,0.3065,,,,,0.188
383,0,1,0,0.379,-79.31,0.658,,,,,0.186
384,0,1,0,0.485,-63.31,0.7129,,,,,0.184
385,0,0,1,0.0,-16.94,0.2946,,,,,0.181
386,0,1,0,0.429,-55.2,0.5519,,,,,0.179
387,0,0,0,0.0,-20.49,0.3437,,,,,0.177
388,1,0,0,0.0,-26.65,0.4126,,,,,0.175
389,0,0,1,0.0,-23.8,0.3398,,,,,0.173
390,0,1,1,0.886,-72.47,0.8269,,,,,0.171
391,1,0,1,0.0,-45.33,0.5054,,,,,0.169
392,1,0,1,0.0,-14.42,0.2697,,,,,0.167
393,1,0,0,0.0,-16.19,0.2652,,,,,0.165
394,1,0,0,0.0,-17.99,0.2978,,,,,0.162
395,1,0,1,0.0,-15.06,0.2987,,,,,0.16
396,0,0,1,0.0,-32.11,0.3926,,,,,0.158
397,1,1,1,0.711,-138.3,1.0555,,,,,0.156
398,0,0,0,0.0,-22.9,0.3027,,,,,0.154
399,0,0,1,0.0,-29.64,0.4598,,,,,0.152
400,1,1,1,1.055,-97.22,0.7796,0.5544,0.4343,0.4855,0.7433,0.15
401,1,1,0,0.901,-133.28,0.8644,,,,,0.147
402,0,1,1,0.094,-31.61,0.4031,,,,,0.145
403,0,1,0,0.704,-114.7,0.9106,,,,,0.143
404,0,0,1,0.0,-23.47,0.3786,,,,,0.141
405,1,0,0,0.0,-30.33,0.3911,,,,,0.139
406,0,0,0,0.0,-21.16,0.3207,,,,,0.137
407,1,0,1,0.0,-23.32,0.2905,,,,,0.135
408,1,0,0,0.0,-23.42,0.3053,,,,,0.133
409,0,0,1,0.0,-25.49,0.3624,,,,,0.13
410,0,1,1,0.121,-45.25,0.4931,,,,,0.128
411,0,1,0,0.003,-37.25,0.4362,,,,,0.126
412,0,0,0,0.0,-10.04,0.237,,,,,0.124
413,0,1,0,1.083,-111.16,0.8604,,,,,0.122
414,0,1,0,0.429,-59.59,0.5544,,,,,0.12
415,1,0,0,0.0,-16.08,0.3313,,,,,0.118
416,1,0,1,0.0,-54.78,0.585,,,,,0.116
417,0,0,0,0.0,-29.92,0.404,,,,,0.113
418,1,0,0,0.0,-33.55,0.4285,,,,,0.111
419,0,0,0,0.0,-19.93,0.3017,,,,,0.109
420,1,0,1,0.0,-36.25,0.4254,,,,,0.107
421,1,1,0,0.071,-20.5,0.3341,,,,,0.105
422,1,1,1,0.978,-78.81,0.8541,,,,,0.103
423,1,0,0,0.0,-50.37,0.5103,,,,,0.101
424,1,0,0,0.0,-36.6,0.4463,,,,,0.098
425,1,0,0,0.0,-38.82,0.3818,,,,,0.096
426,0,0,1,0.0,-27.56,0.4092,,,,,0.094
427,0,0,1,0.0,-53.92,0.5182,,,,,0.092
428,1,1,1,0.631,-112.77,0.9014,,,,,0.09
429,0,1,1,1.061,-111.02,0.966,,,,,0.088
430,1,0,0,0.0,-36.98,0.4564,,,,,0.086
431,0,0,0,0.0,-36.65,0.4621,,,,,0.084
432,1,0,0,0.0,-37.49,0.4258,,,,,0.082
433,0,0,0,0.0,-8.02,0.2257,,,,,0.079
434,0,0,0,0.0,-37.06,0.434,,,,,0.077
435,1,1,0,0.745,-101.91,0.7535,,,,,0.075
436,0,1,0,0.326,-47.85,0.5237,,,,,0.073
437,0,0,0,0.0,-22.22,0.3364,,,,,0.071
