episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
253,0,0,0,0.0,-30.61,0.4218,,,,,0.462
254,0,1,0,0.76,-50.82,0.6925,,,,,0.46
255,0,0,1,0.0,-35.82,0.3945,,,,,0.458
256,0,1,1,0.434,-82.14,0.7219,,,,,0.456
257,0,1,1,1.184,-131.11,0.8698,,,,,0.454
258,0,0,0,0.0,-40.15,0.5352,,,,,0.452
259,0,0,1,0.0,-19.33,0.3836,,,,,0.449
260,1,1,0,0.006,-49.08,0.5435,,,,,0.447
261,1,1,1,0.498,-91.38,0.7211,,,,,0.445
262,1,1,0,1.095,-144.67,1.0567,,,,,0.443
263,1,0,1,0.0,-58.06,0.5518,,,,,0.441
264,0,1,0,0.903,-127.07,0.9148,,,,,0.439
265,0,1,1,0.57,-74.13,0.7292,,,,,0.437
266,1,1,1,0.318,-63.89,0.6057,,,,,0.435
267,1,1,0,0.131,-69.57,0.6093,,,,,0.433
268,1,1,1,0.267,-70.92,0.5558,,,,,0.43
269,0,0,1,0.0,-53.32,0.5005,,,,,0.428
270,1,0,1,0.0,-36.48,0.4529,,,,,0.426
271,0,1,1,0.14,-37.03,0.41,,,,,0.424
272,1,1,1,0.082,-39.03,0.4452,,,,,0.422
273,1,0,0,0.0,-18.35,0.2905,,,,,0.42
274,0,0,1,0.0,-22.96,0.3228,,,,,0.418
275,1,1,0,1.112,-90.38,0.8903,,,,,0.416
276,1,1,1,1.149,-124.82,0.9665,,,,,0.413
277,1,0,0,0.0,-26.91,0.3933,,,,,0.411
278,0,1,0,1.076,-123.44,1.0017,,,,,0.409
279,0,0,0,0.0,-46.67,0.4661,,,,,0.407
280,0,0,1,0.0,-53.78,0.5328,,,,,0.405
281,1,0,0,0.0,-36.25,0.4092,,,,,0.403
282,0,0,0,0.0,-53.96,0.5606,,,,,0.401
283,0,1,1,0.626,-83.68,0.6515,,,,,0.398
284,0,0,1,0.0,-28.47,0.3619,,,,,0.396
285,1,0,1,0.0,-38.86,0.4363,,,,,0.394
286,1,0,1,0.0,-51.94,0.5051,,,,,0.392
287,1,0,1,0.0,-52.77,0.4957,,,,,0.39
288,1,1,0,1.124,-108.63,0.9134,,,,,0.388
289,1,1,0,0.242,-80.99,0.7415,,,,,0.386
290,0,0,0,0.0,-50.15,0.4823,,,,,0.384
291,0,0,1,0.0,-26.49,0.3462,,,,,0.381
292,1,0,0,0.0,-25.95,0.3537,,,,,0.379
293,1,0,0,0.0,-26.67,0.3946,,,,,0.377
294,1,1,1,1.198,-101.75,0.7343,,,,,0.375
295,1,1,0,0.374,-28.76,0.3716,,,,,0.373
296,1,0,0,0.0,-44.13,0.5024,,,,,0.371
297,0,1,0,0.31,-72.11,0.5954,,,,,0.369
298,1,1,0,0.527,-56.72,0.5305,,,,,0.366
