episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
261,1,1,1,0.498,-35.59,0.7215,,,,,0.445
262,1,1,0,1.095,-64.33,1.0779,,,,,0.443
263,1,0,1,0.0,-24.23,0.5906,,,,,0.441
264,0,1,0,0.903,-47.98,0.9193,,,,,0.439
265,0,1,1,0.57,-30.92,0.7241,,,,,0.437
266,1,1,1,0.318,-23.23,0.6098,,,,,0.435
267,1,1,0,0.131,-21.92,0.5716,,,,,0.433
268,1,1,1,0.267,-27.27,0.5588,,,,,0.43
269,0,0,1,0.0,-19.99,0.5014,,,,,0.428
270,1,0,1,0.0,-16.45,0.4974,,,,,0.426
271,0,1,1,0.14,-15.83,0.4729,,,,,0.424
272,1,1,1,0.082,-13.99,0.4386,,,,,0.422
273,1,0,0,0.0,-7.84,0.3211,,,,,0.42
274,0,0,1,0.0,-13.46,0.4354,,,,,0.418
275,1,1,0,1.112,-37.5,0.9214,,,,,0.416
276,1,1,1,1.149,-58.01,1.0096,,,,,0.413
277,1,0,0,0.0,-10.69,0.4001,,,,,0.411
278,0,1,0,1.076,-49.96,1.0168,,,,,0.409
279,0,0,0,0.0,-15.56,0.4737,,,,,0.407
280,0,0,1,0.0,-18.06,0.5149,,,,,0.405
281,1,0,0,0.0,-12.0,0.3893,,,,,0.403
282,0,0,0,0.0,-21.25,0.6006,,,,,0.401
283,0,1,1,0.626,-31.79,0.6697,,,,,0.398
284,0,0,1,0.0,-9.52,0.3713,,,,,0.396
285,1,0,1,0.0,-16.15,0.4583,,,,,0.394
286,1,0,1,0.0,-22.2,0.5412,,,,,0.392
287,1,0,1,0.0,-17.63,0.5039,,,,,0.39
288,1,1,0,1.124,-51.1,0.9446,,,,,0.388
289,1,1,0,0.242,-30.8,0.7121,,,,,0.386
290,0,0,0,0.0,-18.73,0.5447,,,,,0.384
291,0,0,1,0.0,-9.64,0.3438,,,,,0.381
292,1,0,0,0.0,-10.34,0.3819,,,,,0.379
293,1,0,0,0.0,-14.79,0.4762,,,,,0.377
294,1,1,1,1.198,-43.34,0.7432,,,,,0.375
295,1,1,0,0.374,-10.76,0.3897,,,,,0.373
296,1,0,0,0.0,-19.03,0.5703,,,,,0.371
297,0,1,0,0.31,-28.24,0.6292,,,,,0.369
298,1,1,0,0.527,-25.48,0.6376,,,,,0.366
299,1,1,1,1.173,-51.76,0.7965,,,,,0.364
300,1,0,0,0.0,-14.25,0.4689,0.5942,0.466,0.5633,0.7534,0.362
301,1,1,0,0.817,-42.37,0.9099,,,,,0.36
302,0,0,1,0.0,-8.49,0.3644,,,,,0.358
303,1,0,0,0.0,-38.26,0.7776,,,,,0.356
304,0,1,1,0.871,-30.85,0.7696,,,,,0.354
305,0,0,1,0.0,-12.08,0.4573,,,,,0.352
306,0,1,1,0.093,-8.93,0.3646,,,,,0.35
307,0,0,1,0.0,-12.32,0.4294,,,,,0.348
308,1,1,1,1.01,-51.42,0.8538,,,,,0.345
309,0,1,0,0.681,-46.99,0.9178,,,,,0.343
310,0,1,0,0.092,-13.96,0.4694,,,,,0.341
311,0,1,0,0.092,-15.42,0.4836,,,,,0.339
312,1,0,1,0.0,-17.27,0.5243,,,,,0.337
313,1,1,1,1.122,-43.96,0.899,,,,,0.335
314,1,1,1,0.557,-42.41,0.7404,,,,,0.333
315,1,0,0,0.0,-12.97,0.4543,,,,,0.331
316,1,0,1,0.0,-15.1,0.4472,,,,,0.328
317,1,1,1,1.031,-52.99,0.9124,,,,,0.326
318,0,1,0,1.072,-45.22,0.85,,,,,0.324
319,1,1,0,0.043,-15.86,0.4908,,,,,0.322
320,1,1,0,0.825,-24.86,0.7411,,,,,0.32
321,1,1,1,1.174,-48.85,0.9114,,,,,0.318
322,1,0,0,0.0,-14.31,0.4752,,,,,0.316
